0,1,Weight
331629,1065010,11
209294,79578,9
144758,164246,8
792536,803809,7
39908,39909,7
241513,181022,7
21742,137880,6
14646,21742,6
722712,209748,6
81056,174883,6
86495,37907,6
50513,132084,6
100752,188242,6
22935,50706,5
1615988,1065010,5
65048,217039,5
100558,44958,5
132084,115941,5
194282,218663,5
181022,1065010,5
383281,132084,5
357753,1177244,5
25777,1233832,5
58554,186837,5
195526,225690,5
209294,167646,5
362504,174968,5
62134,75187,4
219088,219090,4
66154,100756,4
22935,198518,4
21715,70351,4
119142,241513,4
5648,39908,4
209294,132084,4
1065010,383281,4
79578,209294,4
410424,586332,4
993355,3789526,4
182673,36100,4
241513,1065010,4
19701,21918,4
2545,227583,4
132084,173401,4
132084,90037,4
209294,142956,4
89865,201373,4
1461629,66417,4
1439270,3667994,4
2959589,37308,4
71651,82947,4
173557,232986,3
18123,28579,3
20590,21918,3
100756,116227,3
14480,14484,3
20590,19701,3
21001,65049,3
86495,184491,3
241513,21742,3
51369,39455,3
143896,231900,3
39838,14743,3
187983,187984,3
187204,3085233,3
39837,109832,3
51271,65049,3
66152,4030,3
179826,349341,3
50200,175184,3
208076,1034178,3
19414,4091,3
79578,142956,3
1638200,16508,3
357753,1065010,3
183463,183462,3
1615988,357753,3
51988,176767,3
186837,93616,3
28104,1153964,3
1065010,382934,3
90640,142954,3
238212,144225,3
14646,208836,3
2545,689990,3
132084,209294,3
97139,36100,3
181022,382934,3
947787,1470055,3
209294,167644,3
82068,27658,3
157241,34220,3
33373,278347,3
26246,26245,3
209294,111523,3
988770,58593,3
60978,53077,3
133640,270484,3
132084,66154,3
60978,36099,3
37907,86495,3
194109,3091826,3
37908,341733,3
133237,51978,3
99679,90037,3
191071,200516,3
66153,160771,3
635898,2669924,3
5648,109832,3
82068,35025,3
27658,35025,3
219204,329649,3
341733,383281,3
215993,44958,3
5648,42412,3
43315,214242,3
110844,1272781,3
5648,31777,3
31777,109832,2
16655,41279,2
132084,116227,2
18123,244611,2
205201,122418,2
70351,77180,2
205201,1065010,2
18310,28579,2
2497151,2497152,2
126073,90037,2
39455,51369,2
184921,48354,2
107769,100752,2
181022,374226,2
182673,13732,2
1177244,1065010,2
126976,110844,2
17587,100558,2
241513,1264567,2
39167,42423,2
241513,382934,2
241513,374226,2
182673,51352,2
406165,37906,2
17587,44958,2
241513,3198963,2
181427,40445,2
182673,97139,2
241513,357753,2
241513,341733,2
241513,229665,2
241513,221673,2
2183765,1945957,2
419677,97139,2
722712,132084,2
181022,2082945,2
71680,31715,2
50514,13873,2
208076,133869,2
106523,79326,2
106720,5682,2
137880,180818,2
126064,21742,2
22935,242071,2
567355,293440,2
26918,232451,2
229665,181022,2
39908,42412,2
192718,95003,2
26936,66817,2
192683,192718,2
229665,1065010,2
551209,187740,2
229665,132084,2
542293,4378156,2
534737,2628906,2
1527592,181022,2
22935,34215,2
1527592,1065010,2
22910,21742,2
44392,13873,2
79942,214415,2
1479204,2664379,2
80569,173280,2
685501,1194826,2
1439270,3678583,2
195939,797757,2
195894,1216197,2
111506,185587,2
81206,166190,2
40792,38661,2
110844,92281,2
25666,42423,2
25666,39167,2
596907,173152,2
1468761,2121662,2
194387,137204,2
224931,256490,2
110844,51272,2
1461629,476414,2
224931,219497,2
25058,187204,2
26918,66152,2
1462398,1113758,2
115941,382934,2
231775,216149,2
21920,50514,2
19701,70351,2
1201210,3244227,2
86495,132084,2
1201210,2523290,2
86495,173359,2
235174,16659,2
79578,17900,2
219497,256490,2
