,0,1
912,53529,47076
913,90013,57509
916,57509,64774
917,57509,57800
923,17477,30674
924,82947,64774
925,82947,53529
926,64774,53529
928,50514,93780
929,50514,29058
932,93780,29058
933,189635,100558
934,189635,25495
935,100558,25495
936,39829,11213
937,65081,14017
938,22877,126433
940,20590,19701
941,20590,21918
942,19701,21918
953,34215,102819
954,58708,14753
955,58708,31712
956,58708,125912
957,14753,31712
958,14753,125912
959,31712,125912
966,24211,57979
967,35333,57979
968,25058,187204
969,24205,65081
970,24205,310129
971,65081,310129
977,5648,39908
978,5648,12470
979,5648,25777
980,12470,25777
981,65048,29059
982,223679,735980
983,26936,66817
985,44392,13873
986,17905,18684
987,17905,5649
988,18684,5649
989,51158,98207
990,476414,186837
991,91533,217149
995,120527,17900
996,1107018,1131052
997,45047,50514
1002,5455,37863
1004,44399,109335
1005,44399,39908
1006,44399,5648
1007,109335,39908
1008,109335,5648
1009,39908,5648
1023,57509,64774
1025,57509,103268
1026,57509,3782412
1027,103268,3782412
1032,59872,715813
1038,148199,201124
1040,20590,19701
1041,20590,21918
1042,19701,21918
1043,303144,105348
1046,77180,196988
1048,38561,57770
1050,209690,331528
1051,2497926,2497925
1052,567169,567172
1053,567169,567171
1054,567172,567171
1055,2874067,1142078
1056,703660,252885
1059,1629999,4480529
1060,1629999,5313322
1061,4480529,5313322
1062,195526,225690
1064,133456,139777
1065,1116086,1226949
1067,52378,6578132
1068,188694,210875
1069,39908,16508
1070,37908,109832
1073,137880,9557
1074,108722,132084
1075,50513,112738
1078,1479204,215610
1079,38661,204817
1082,267935,137880
1083,476414,820862
1084,1262687,169508
1086,134438,169508
1087,383281,676828
1088,2748904,374448
1089,2748904,2726980
1090,374448,2726980
1091,747767,21742
1092,383281,37908
1093,215993,44958
1094,80569,245421
1101,21070,218700
1102,82068,27658
1103,82068,35025
1104,27658,35025
1105,1582740,36711
1106,157241,34220
1107,82693,5648
1108,82693,2202
1109,82693,44399
1110,5648,2202
1111,5648,44399
1112,2202,44399
1118,5648,27555
1119,227198,211100
1120,1153964,117845
